"","subject","CURRENT_SAC_AMPLITUDE","CURRENT_SAC_DIRECTION","CURRENT_SAC_DURATION","CURRENT_SAC_END_INTEREST_AREAS","CURRENT_SAC_END_INTEREST_AREA_INDEX","CURRENT_SAC_END_INTEREST_AREA_LABEL","CURRENT_SAC_INDEX","CURRENT_SAC_LABEL","CURRENT_SAC_MSG_TEXT_1","CURRENT_SAC_START_INTEREST_AREAS","CURRENT_SAC_START_INTEREST_AREA_INDEX","CURRENT_SAC_START_INTEREST_AREA_LABEL","DATA_FILE","TRIAL_INDEX","TRIAL_LABEL","TRIAL_SACCADE_TOTAL","BUTTON_PRESSED.1.","BUTTON_PRESS_TIME.1.","DISPLAY_ON_TIME.1.","RESPONSE_TIME.1.","RESPONSE_ACCURACY.1.","visual","pic_category","correct","sentence","sentence_type","block","button_expected","polarity","language","congruence","Imagewinner","Ratio","PxSize","logCURRENT_SAC_DURATION"
"1","t1",6.81,"RIGHT",53,"[ 3]",3,"ROI_RIGHT ",1,"Saccade: 377ms",".","[ 2]",2,"ROI_CENTER ","t1.edf",1,"Trial: 13",4,2,392297,391056.812,1240,"correct","fig2_rev_3d4_28px.png",2,"0","B < A","2",4,2,"Negative","Math","Incongruent","rev","3d4","28px",3.97029191355212
"2","t1",13.37,"LEFT",71,"[ 1]",1,"ROI_LEFT ",2,"Saccade: 538ms",".","[ 3]",3,"ROI_RIGHT ","t1.edf",1,"Trial: 13",4,2,392297,391056.812,1240,"correct","fig2_rev_3d4_28px.png",2,"0","B < A","2",4,2,"Negative","Math","Incongruent","rev","3d4","28px",4.26267987704132
"3","t1",16.31,"RIGHT",154,"[ 3]",3,"ROI_RIGHT ",3,"Saccade: 844ms",".","[ 1]",1,"ROI_LEFT ","t1.edf",1,"Trial: 13",4,2,392297,391056.812,1240,"correct","fig2_rev_3d4_28px.png",2,"0","B < A","2",4,2,"Negative","Math","Incongruent","rev","3d4","28px",5.03695260241363
"4","t1",5.74,"UP",52,"[ 3]",3,"ROI_RIGHT ",4,"Saccade: 1229ms",".","[ 3]",3,"ROI_RIGHT ","t1.edf",1,"Trial: 13",4,2,392297,391056.812,1240,"correct","fig2_rev_3d4_28px.png",2,"0","B < A","2",4,2,"Negative","Math","Incongruent","rev","3d4","28px",3.95124371858143
"5","t1",0.44,".",127,"[ 2]",2,"ROI_CENTER ",1,"Saccade: 123ms",".","[ 2]",2,"ROI_CENTER ","t1.edf",2,"Trial: 14",5,2,399323,397873.051,1449,"correct","fig2_7d8_42px.png",3,"0","B > A","1",4,2,"Positive","Math","Incongruent","nor","7d8","42px",4.84418708645859
"6","t1",7.41,"RIGHT",53,"[ 3]",3,"ROI_RIGHT ",2,"Saccade: 404ms",".","[ 2]",2,"ROI_CENTER ","t1.edf",2,"Trial: 14",5,2,399323,397873.051,1449,"correct","fig2_7d8_42px.png",3,"0","B > A","1",4,2,"Positive","Math","Incongruent","nor","7d8","42px",3.97029191355212
"7","t1",2.47,"RIGHT",26,"[ 3]",3,"ROI_RIGHT ",3,"Saccade: 599ms",".","[ 3]",3,"ROI_RIGHT ","t1.edf",2,"Trial: 14",5,2,399323,397873.051,1449,"correct","fig2_7d8_42px.png",3,"0","B > A","1",4,2,"Positive","Math","Incongruent","nor","7d8","42px",3.25809653802148
"8","t1",15.89,"LEFT",67,"[ 1]",1,"ROI_LEFT ",4,"Saccade: 897ms",".","[ 3]",3,"ROI_RIGHT ","t1.edf",2,"Trial: 14",5,2,399323,397873.051,1449,"correct","fig2_7d8_42px.png",3,"0","B > A","1",4,2,"Positive","Math","Incongruent","nor","7d8","42px",4.20469261939097
"9","t1",2.25,"UP",30,"[ 1]",1,"ROI_LEFT ",5,"Saccade: 1390ms",".","[ 1]",1,"ROI_LEFT ","t1.edf",2,"Trial: 14",5,2,399323,397873.051,1449,"correct","fig2_7d8_42px.png",3,"0","B > A","1",4,2,"Positive","Math","Incongruent","nor","7d8","42px",3.40119738166216
"10","t1",11.57,"LEFT",46,"[ 1]",1,"ROI_LEFT ",1,"Saccade: 302ms",".","[ 2]",2,"ROI_CENTER ","t1.edf",3,"Trial: 15",3,4,405554,404705.993,848,"correct","fig2_3d4_42px.png",3,"1","B < A","2",4,4,"Negative","Math","Congruent","nor","3d4","42px",3.8286413964891
